title,artist,image_url,image_path
Laocoon  (copy of the Vatican original),Leone Leoni,https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Leone-Leoni-Lacoonte-595x1024.jpg,ambrosiana_images/Laocoon__(copy_of_the_Vatican_original).jpg
Pietà (copy from Michelangelo),Leone Leoni,https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Leone-Leoni-Pieta-copia-da-Michelangelo-1-632x1024.jpg,ambrosiana_images/Pietà_(copy_from_Michelangelo).jpg
The Placing of Christ in the Sepulchre,Tiziano Vecellio (1480-1576),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Bottega-di-Tiziano-Vecellio-Deposizione-di-Cristo-nel-sepolcro-1024x892.jpg,ambrosiana_images/The_Placing_of_Christ_in_the_Sepulchre.jpg
Saint Michael the Archangel,Giulio Cesare Procaccini (1574-1625),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Giulio-Cesare-Procaccini-san-Michele-Arcangelo-739x1024.jpg,ambrosiana_images/Saint_Michael_the_Archangel.jpg
Clock with astrolabe,Sconosciuto,https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Orologio-con-astrolabio-735x1024.jpg,ambrosiana_images/Clock_with_astrolabe.jpg
Portrait of Paolo Morigia,Fede Galizia (1578-1630),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Fede-Galizia-Ritratto-di-Paolo-Morigia-925x1024.jpg,ambrosiana_images/Portrait_of_Paolo_Morigia.jpg
Landscape with Saint John the Baptist,Paul Bril (1554-1626),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Paul-Bril-Paesaggio-con-San-Giovannino-1024x744.jpg,ambrosiana_images/Landscape_with_Saint_John_the_Baptist.jpg
Basket of fruit,Michelangelo Merisi da Caravaggio (1571-1610),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Canestra-di-frutta-Michelangelo-Merisi-da-Caravaggio-1024x786.jpg,ambrosiana_images/Basket_of_fruit.jpg
Crib,Federico Barocci o Baroccio detto il Fiori (1535-1612) (replica di),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Barocci-Presepe-Nativita-3-823x1024.jpg,ambrosiana_images/Crib.jpg
Nautilus shell,Sconosciuto,https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Anonimo-Nautilus-940x1024.jpg,ambrosiana_images/Nautilus_shell.jpg
Portrait of Saint Charles Borromeo,Giovanni Ambrogio Figino (1548-1608),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Giovanni-Ambrogio-Figino-Ritratto-di-San-Carlo-Borromeo-888x1024.jpg,ambrosiana_images/Portrait_of_Saint_Charles_Borromeo.jpg
The Damned Soul,Anonimo lombardo (XVII secolo),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Scultore-milanese-Dannato-804x1024.jpg,ambrosiana_images/The_Damned_Soul.jpg
A Soul in Purgatory,Anonimo lombardo (XVII secolo),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Scultore-milanese-anima-purgante-830x1024.jpg,ambrosiana_images/A_Soul_in_Purgatory.jpg
The Blessed Soul,Anonimo lombardo (XVII secolo),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Anonimo-Lombardo-Anima-Beata-1-769x1024.jpg,ambrosiana_images/The_Blessed_Soul.jpg
Armillary sphere,NA,https://ambrosiana.it/wp-content/uploads/2018/11/VB004728-699x1024.jpg,ambrosiana_images/Armillary_sphere.jpg
Original Sin,Jan II Brueghel il Giovane (1601-1678),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Jan-II-Brueghel-il-Giovane-Peccato-originale-1024x598.jpg,ambrosiana_images/Original_Sin.jpg
Mouse with Roses,Jan Brueghel il Vecchio “Dei Velluti” (1568-1625),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Jan-Brueghel-il-Vecchio-Dei-Velluti-Topolino-con-rose-1024x713.jpg,ambrosiana_images/Mouse_with_Roses.jpg
Cup with Turbo marmoratus shell,Christoph Lencker (1556 circa-1613),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Christoph-Lencker-Coppa-con-conchiglia-di-Turbo-marmoratus-628x1024.jpg,ambrosiana_images/Cup_with_Turbo_marmoratus_shell.jpg
Allegory of Fire,Jan Brueghel il Vecchio “Dei Velluti” (1568-1625),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Jan-Brueghel-il-Vecchio-Dei-Velluti-Allegoria-del-fuoco-olio-su-rame-1024x698.jpg,ambrosiana_images/Allegory_of_Fire.jpg
Flowers in a Vase,Jan Brueghel il Vecchio “Dei Velluti” (1568-1625),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Jan-Brueghel-Fiori-in-un-vaso-689x1024.jpg,ambrosiana_images/Flowers_in_a_Vase.jpg
